score	frequency	target
-1743157	1	chm13
-1742397	1	chm13
-1737471	1	chm13
-1735737	1	chm13
-1735069	1	chm13
-1734571	1	chm13
-1732809	1	chm13
-1730373	1	chm13
-1730362	1	chm13
-1729769	1	chm13
-1728072	1	chm13
-1724512	1	chm13
-1723533	1	chm13
-1723405	1	chm13
-1721971	1	chm13
-1721711	1	chm13
-1720421	1	chm13
-1719811	1	chm13
-1715593	1	chm13
-1715204	1	chm13
-1714248	1	chm13
-1710783	1	chm13
-1708711	1	chm13
-1707408	1	chm13
-1702134	1	chm13
-1701177	1	chm13
-1697521	1	chm13
-1695884	1	chm13
-1694499	1	chm13
-1693643	1	chm13
-1691698	1	chm13
-1691615	1	chm13
-1689158	1	chm13
-1688036	1	chm13
-1687612	1	chm13
-1687303	1	chm13
-1685465	1	chm13
-1685195	1	chm13
-1684651	1	chm13
-1684250	1	chm13
-1681787	1	chm13
-1680986	1	chm13
-1680260	1	chm13
-1680171	1	chm13
-1679885	1	chm13
-1679850	1	chm13
-1679778	1	chm13
-1678201	1	chm13
-1678021	1	chm13
-1676246	1	chm13
-1675967	1	chm13
-1675172	1	chm13
-1674422	1	chm13
-1674068	1	chm13
-1670478	1	chm13
-1670327	1	chm13
-1669492	1	chm13
-1668795	1	chm13
-1668717	1	chm13
-1668298	1	chm13
-1667100	1	chm13
-1666780	1	chm13
-1665969	1	chm13
-1664618	1	chm13
-1663995	1	chm13
-1663418	1	chm13
-1661937	1	chm13
-1661388	1	chm13
-1660992	1	chm13
-1660284	1	chm13
-1659488	1	chm13
-1659054	1	chm13
-1658940	1	chm13
-1658817	1	chm13
-1658391	1	chm13
-1654820	1	chm13
-1654661	1	chm13
-1653860	1	chm13
-1653110	1	chm13
-1652140	1	chm13
-1651793	1	chm13
-1651281	1	chm13
-1650469	1	chm13
-1647492	1	chm13
-1646864	1	chm13
-1646000	1	chm13
-1645464	1	chm13
-1643349	1	chm13
-1642138	1	chm13
-1642099	1	chm13
-1640505	1	chm13
-1638686	1	chm13
-1638250	1	chm13
-1638090	1	chm13
-1637905	1	chm13
-1637877	1	chm13
-1637578	1	chm13
-1636823	1	chm13
-1636332	1	chm13
-1635934	1	chm13
-1633303	1	chm13
-1631170	1	chm13
-1630904	1	chm13
-1628702	1	chm13
-1628394	1	chm13
-1628355	1	chm13
-1628051	1	chm13
-1627039	1	chm13
-1626970	1	chm13
-1625127	1	chm13
-1624329	1	chm13
-1623080	1	chm13
-1622876	1	chm13
-1622303	1	chm13
-1621069	1	chm13
-1620659	1	chm13
-1620094	1	chm13
-1620033	1	chm13
-1619490	1	chm13
-1617628	1	chm13
-1616785	1	chm13
-1616750	1	chm13
-1616213	1	chm13
-1615362	1	chm13
-1615035	1	chm13
-1614450	1	chm13
-1613887	1	chm13
-1613599	1	chm13
-1612874	1	chm13
-1611944	1	chm13
-1611701	1	chm13
-1611243	1	chm13
-1608865	1	chm13
-1607540	1	chm13
-1606587	1	chm13
-1605202	1	chm13
-1604600	1	chm13
-1604029	1	chm13
-1602806	1	chm13
-1601787	1	chm13
-1601057	1	chm13
-1600723	1	chm13
-1599920	1	chm13
-1599460	1	chm13
-1597687	1	chm13
-1597399	1	chm13
-1597327	1	chm13
-1596891	1	chm13
-1596590	1	chm13
-1595785	1	chm13
-1595641	1	chm13
-1595235	1	chm13
-1594994	1	chm13
-1594181	1	chm13
-1593710	1	chm13
-1593188	1	chm13
-1592401	1	chm13
-1591794	1	chm13
-1589347	1	chm13
-1589297	1	chm13
-1589059	1	chm13
-1588608	1	chm13
-1587498	1	chm13
-1587225	1	chm13
-1586820	1	chm13
-1586769	1	chm13
-1586662	1	chm13
-1585181	1	chm13
-1583752	1	chm13
-1581097	1	chm13
-1580886	1	chm13
-1580536	1	chm13
-1578486	1	chm13
-1577702	1	chm13
-1576342	1	chm13
-1569344	1	chm13
-1569329	1	chm13
-1569222	1	chm13
-1569184	1	chm13
-1566183	1	chm13
-1564257	1	chm13
-1562318	1	chm13
-1562114	1	chm13
-1560234	1	chm13
-1560021	1	chm13
-1558569	1	chm13
-1558413	1	chm13
-1558273	1	chm13
-1555094	1	chm13
-1554010	1	chm13
-1552598	1	chm13
-1552099	1	chm13
-1549063	1	chm13
-1548871	1	chm13
-1545621	1	chm13
-1542548	1	chm13
-1541782	1	chm13
